,id_producto,nombre_producto,categoria,precio,origen,descripcion
0,A1,Pizza Margherita,Platos Preparados,8.99,Italia,Clásica pizza italiana con tomate  mozzarella fresca y albahaca.
1,B2,Risotto de Champiñones,Platos Preparados,6.75,Italia,Risotto cremoso con champiñones frescos  una delicia italiana para disfrutar en casa.
2,C3,Tiramisú,Postres,5.49,Italia,Postre clásico italiano con capas de bizcocho de café  mascarpone y cacao en polvo.
3,D4,Panettone,Repostería,10.99,Italia,Pan dulce navideño italiano con frutas confitadas y pasas  un regalo tradicional en Italia.
4,E5,Orecchiette,Productos Secos,4.29,Italia,Pequeñas pastas con forma de orecchiette ideales para salsas de tomate o pesto. 
5,F6,Polenta Tradicional,Harinas,3.75,Italia,Harina de maíz italiana para preparar la tradicional polenta  perfecta como acompañamiento.
6,G7,Mozzarella di Bufala,Productos Lácteos,9.25,Italia,Mozzarella fresca elaborada con leche de búfala  suave y deliciosamente cremosa.
7,J10,Arroz Arborio,Productos Secos,4.89,Italia,Arroz de grano corto perfecto para risottos italianos  absorbe los sabores de forma exquisita.
8,K11,Café Espresso, Café,6.49,Italia,Café espresso italiano con un aroma y sabor intenso  la esencia de la cultura del café en Italia.
9,L12,Sardinas en Aceite de Oliva,Pescados en Conserva,3.99,Italia,Sardinas frescas en aceite de oliva  un bocado delicioso y saludable.
10,N14,Gnocchi de Patata,Productos Congelados,5.25,Italia,Gnocchi de patata italiana  ideales con salsa de tomate o crema.
11,O15,Ravioli de Ricotta y Espinacas,Productos Congelados,6.75,Italia,Raviolis rellenos de ricotta y espinacas frescas  simplemente deliciosos.
12,Q17,Pasta de Trigo,Productos Secos,3.99,Italia,Deliciosa pasta de trigo durum italiana  ideal para platos de pasta tradicionales.
13,R18,Salsa de Tomate Casera,Salsas,2.49,Italia,Elaborada con tomates italianos maduros  una receta tradicional que realza el sabor de tus platos.
14,S19,Aceite de Oliva Virgen Extra,Aceites,9.99,Italia,Aceite de oliva prensado en frío de las mejores aceitunas italianas  perfecto para aderezos y cocinar.
15,T20,Queso Parmesano,Productos Lácteos,7.89,Italia,El famoso queso italiano  madurado durante meses para obtener su sabor único y rico.
16,U21,Salami Toscano,Embutidos,5.75,Italia,Salami de cerdo italiano curado con hierbas y especias  un acompañamiento perfecto para tablas de embutidos.
17,W23,Gelato de Limón,Helados,4.25,Italia,Gelato italiano cremoso con sabor a limón fresco  un postre refrescante y delicioso.
18,X24,Cannoli,Dulces,3.99,Italia,Postre siciliano con masa crujiente rellena de crema de ricotta y chocolate  una delicia tradicional.
19,Y25,Cacciatore,Embutidos,6.75,Italia,Salchichas de cerdo condimentadas con hierbas y especias  perfectas para aperitivos.
20,GG33,Ciceri e Tria,Platos Preparados,5.89,Italia,Plato de pasta tradicional de Apulia con garbanzos y tria (fideos fritos)  una combinación única.
